pro_id,product_name,model_year,list_price,list_local_price
1,Trek 820 - 2016,2016,379.99,18037.49
2,Ritchey Timberwolf Frameset - 2016,2016,749.99,35600.78
3,Surly Wednesday Frameset - 2016,2016,999.99,47467.86
4,Trek Fuel EX 8 29 - 2016,2016,2899.99,137657.7
5,Heller Shagamaw Frame - 2016,2016,1320.99,62705.2
6,Surly Ice Cream Truck Frameset - 2016,2016,469.99,22309.64
7,Trek Slash 8 27.5 - 2016,2016,3999.99,189872.87
8,Trek Remedy 29 Carbon Frameset - 2016,2016,1799.99,85442.53
9,Trek Conduit+ - 2016,2016,2999.99,142404.53
10,Surly Straggler - 2016,2016,1549.0,73528.45
11,Surly Straggler 650b - 2016,2016,1680.99,79793.8
12,Electra Townie Original 21D - 2016,2016,549.99,26107.11
13,Electra Cruiser 1 (24-Inch) - 2016,2016,269.99,12815.98
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2016,269.99,12815.98
15,Electra Moto 1 - 2016,2016,529.99,25157.74
16,Electra Townie Original 7D EQ - 2016,2016,599.99,28480.53
17,Pure Cycles Vine 8-Speed - 2016,2016,429.0,20363.92
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,2016,449.0,21313.28
19,Pure Cycles William 3-Speed - 2016,2016,449.0,21313.28
20,Electra Townie Original 7D EQ - Women's - 2016,2016,599.99,28480.53
21,Electra Cruiser 1 (24-Inch) - 2016,2016,269.99,12815.98
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2016,269.99,12815.98
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2016,299.99,14240.03
24,Electra Townie Original 21D - 2016,2016,549.99,26107.11
25,Electra Townie Original 7D - 2015/2016,2016,499.99,23733.69
26,Electra Townie Original 7D EQ - 2016,2016,599.99,28480.53
27,Surly Big Dummy Frameset - 2017,2017,999.99,47467.86
28,Surly Karate Monkey 27.5+ Frameset - 2017,2017,2499.99,118670.36
29,Trek X-Caliber 8 - 2017,2017,999.99,47467.86
30,Surly Ice Cream Truck Frameset - 2017,2017,999.99,47467.86
31,Surly Wednesday - 2017,2017,1632.99,77515.32
32,Trek Farley Alloy Frameset - 2017,2017,469.99,22309.64
33,Surly Wednesday Frameset - 2017,2017,469.99,22309.64
34,Trek Session DH 27.5 Carbon Frameset - 2017,2017,469.99,22309.64
35,Sun Bicycles Spider 3i - 2017,2017,832.99,39540.65
36,Surly Troll Frameset - 2017,2017,832.99,39540.65
37,Haro Flightline One ST - 2017,2017,379.99,18037.49
38,Haro Flightline Two 26 Plus - 2017,2017,549.99,26107.11
39,Trek Stache 5 - 2017,2017,1499.99,71202.03
40,Trek Fuel EX 9.8 29 - 2017,2017,4999.99,237341.2
41,Haro Shift R3 - 2017,2017,1469.99,69777.98
42,Trek Fuel EX 5 27.5 Plus - 2017,2017,2299.99,109176.7
43,Trek Fuel EX 9.8 27.5 Plus - 2017,2017,5299.99,251581.7
44,Haro SR 1.1 - 2017,2017,539.99,25632.43
45,Haro SR 1.2 - 2017,2017,869.99,41296.98
46,Haro SR 1.3 - 2017,2017,1409.99,66929.88
47,Trek Remedy 9.8 - 2017,2017,5299.99,251581.7
48,Trek Emonda S 4 - 2017,2017,1499.99,71202.03
49,Trek Domane SL 6 - 2017,2017,3499.99,166138.7
50,Trek Silque SLR 7 Women's - 2017,2017,5999.99,284809.54
51,Trek Silque SLR 8 Women's - 2017,2017,6499.99,308543.7
52,Surly Steamroller - 2017,2017,875.99,41581.79
53,Surly Ogre Frameset - 2017,2017,749.99,35600.78
54,Trek Domane SL Disc Frameset - 2017,2017,3199.99,151898.2
55,Trek Domane S 6 - 2017,2017,2699.99,128164.03
56,Trek Domane SLR 6 Disc - 2017,2017,5499.99,261075.37
57,Trek Emonda S 5 - 2017,2017,1999.99,94936.2
58,Trek Madone 9.2 - 2017,2017,4999.99,237341.2
59,Trek Domane S 5 Disc - 2017,2017,2599.99,123417.2
60,Sun Bicycles ElectroLite - 2017,2017,1559.99,74050.13
61,Trek Powerfly 8 FS Plus - 2017,2017,4999.99,237341.2
62,Trek Boone 7 - 2017,2017,3499.99,166138.7
63,Trek Boone Race Shop Limited - 2017,2017,3499.99,166138.7
64,Electra Townie Original 7D - 2017,2017,489.99,23259.01
65,Sun Bicycles Lil Bolt Type-R - 2017,2017,346.99,16471.04
66,Sun Bicycles Revolutions 24 - 2017,2017,250.99,11914.08
